credit_score,country,gender,age,tenure,balance,products_number,credit_card,active_member,estimated_salary,churn,age_group,inactive_single_product,products_per_tenure,zero_balance,high_balance,balance_per_product,credit_score_band,early_customer,churn_risk_score
721,Germany,Male,28,9,154475.54,2,0,1,101300.94,1,<30,False,1.2222222222222223,0,1,77238.77,Good,0,0
628,Germany,Female,30,9,132351.29,2,1,1,74169.13,0,<30,False,1.2222222222222223,0,1,66176.645,Fair,0,0
668,Germany,Female,37,6,167864.4,1,1,0,115638.29,0,30-39,True,1.1666666666666667,0,1,167865.4,Fair,0,1
506,France,Female,41,1,0.0,2,1,0,31766.3,0,40-49,False,3.0,1,0,1.0,Poor,1,2
524,Germany,Female,31,8,107818.63,1,1,0,199725.39,1,30-39,True,1.125,0,1,107819.63,Poor,0,1
699,Germany,Male,34,4,185173.81,2,1,0,120834.48,0,30-39,False,1.5,0,1,92587.905,Good,0,0
828,France,Male,34,8,129433.34,2,0,0,38131.77,0,30-39,False,1.25,0,1,64717.67,Excellent,0,0
674,Spain,Male,39,6,120193.42,1,0,0,100130.95,0,30-39,True,1.1666666666666667,0,1,120194.42,Good,0,1
656,France,Female,39,6,0.0,2,1,0,141069.88,0,30-39,False,1.3333333333333333,1,0,1.0,Fair,0,1
684,Germany,Female,48,10,126384.42,1,1,1,198129.36,0,40-49,False,1.1,0,1,126385.42,Good,0,0
625,France,Female,28,3,0.0,1,0,0,183646.41,0,<30,True,1.3333333333333333,1,0,1.0,Fair,0,2
432,France,Male,42,9,152603.45,1,1,0,110265.24,1,40-49,True,1.1111111111111112,0,1,152604.45,Poor,0,1
549,France,Female,52,1,0.0,1,0,1,8636.05,1,50-59,False,2.0,1,0,1.0,Poor,1,2
625,Germany,Male,56,0,148507.24,1,1,0,46824.08,1,50-59,True,,0,1,148508.24,Fair,1,2
828,France,Female,41,7,0.0,2,1,0,171378.77,0,40-49,False,1.2857142857142856,1,0,1.0,Excellent,0,1
770,France,Male,24,9,101827.07,1,1,0,167256.35,0,<30,True,1.1111111111111112,0,1,101828.07,Very Good,0,1
758,France,Female,34,3,0.0,2,1,1,124226.16,0,30-39,False,1.6666666666666665,1,0,1.0,Very Good,0,1
795,Germany,Female,33,9,130862.43,1,1,1,114935.21,0,30-39,False,1.1111111111111112,0,1,130863.43,Very Good,0,0
687,France,Male,38,9,122570.87,1,1,1,35608.88,0,30-39,False,1.1111111111111112,0,1,122571.87,Good,0,0
686,France,Male,25,1,0.0,2,0,1,16459.37,0,<30,False,3.0,1,0,1.0,Good,1,2
789,Germany,Male,39,7,124828.46,2,1,1,124411.08,0,30-39,False,1.2857142857142856,0,1,62415.23,Very Good,0,0
589,Germany,Female,50,5,144895.05,2,1,1,34941.23,0,40-49,False,1.4,0,1,72448.525,Fair,0,0
461,Germany,Female,34,5,63663.93,1,0,1,167784.28,0,30-39,False,1.2,0,0,63664.93,Poor,0,0
637,France,Male,40,2,133463.1,1,0,1,93165.34,0,30-39,False,1.5,0,1,133464.1,Fair,1,1
584,Spain,Female,48,2,213146.2,1,1,0,75161.25,1,40-49,True,1.5,0,1,213147.2,Fair,1,2
579,Spain,Female,35,1,129490.36,2,0,1,8590.83,1,30-39,False,3.0,0,1,64746.18,Poor,1,1
756,Germany,Male,44,10,137452.09,1,1,0,189543.9,0,40-49,True,1.1,0,1,137453.09,Very Good,0,1
663,France,Male,34,7,0.0,2,1,1,180427.24,0,30-39,False,1.2857142857142856,1,0,1.0,Fair,0,1
682,France,Female,43,5,125851.93,1,1,1,193318.33,0,40-49,False,1.2,0,1,125852.93,Good,0,0
793,Spain,Male,52,2,0.0,1,1,0,159123.82,1,50-59,True,1.5,1,0,1.0,Very Good,1,3
691,France,Female,31,5,40915.55,1,1,0,126213.84,1,30-39,True,1.2,0,0,40916.55,Good,0,1
485,Spain,Female,21,5,113157.22,1,1,1,54141.5,0,<30,False,1.2,0,1,113158.22,Poor,0,0
635,Spain,Female,29,8,138296.94,2,1,0,141075.51,0,<30,False,1.25,0,1,69149.47,Fair,0,0
650,France,Male,37,5,106967.18,1,0,0,24495.03,0,30-39,True,1.2,0,1,106968.18,Fair,0,1
735,France,Male,44,9,120681.63,1,1,0,74836.34,0,40-49,True,1.1111111111111112,0,1,120682.63,Good,0,1
416,France,Male,32,0,0.0,2,0,1,878.87,0,30-39,False,,1,0,1.0,Poor,1,2
754,Spain,Female,32,7,0.0,2,1,0,89520.75,0,30-39,False,1.2857142857142856,1,0,1.0,Very Good,0,1
535,France,Female,48,9,0.0,1,1,0,149892.79,1,40-49,True,1.1111111111111112,1,0,1.0,Poor,0,2
716,Spain,Male,42,8,0.0,2,1,0,180800.42,0,40-49,False,1.25,1,0,1.0,Good,0,1
539,France,Male,37,2,127609.59,1,1,0,98646.22,0,30-39,True,1.5,0,1,127610.59,Poor,1,2
614,France,Female,43,6,0.0,2,1,1,109041.53,0,40-49,False,1.3333333333333333,1,0,1.0,Fair,0,1
706,Spain,Male,57,7,0.0,1,1,0,17941.16,1,50-59,True,1.1428571428571428,1,0,1.0,Good,0,2
758,France,Female,33,7,0.0,2,0,0,82996.47,0,30-39,False,1.2857142857142856,1,0,1.0,Very Good,0,1
586,Spain,Female,28,2,0.0,2,1,1,92067.35,0,<30,False,2.0,1,0,1.0,Fair,1,2
646,France,Female,73,6,97259.25,1,0,1,104719.66,0,60+,False,1.1666666666666667,0,1,97260.25,Fair,0,0
631,Germany,Female,33,4,123246.7,1,0,0,112687.57,0,30-39,True,1.25,0,1,123247.7,Fair,0,1
717,Spain,Female,22,6,101060.25,1,0,1,84699.56,0,<30,False,1.1666666666666667,0,1,101061.25,Good,0,0
684,France,Male,30,2,0.0,2,1,0,83473.82,0,<30,False,2.0,1,0,1.0,Good,1,2
800,France,Female,49,7,108007.36,1,0,0,47125.11,0,40-49,True,1.1428571428571428,0,1,108008.36,Very Good,0,1
721,Spain,Female,36,2,0.0,2,1,1,106977.8,0,30-39,False,2.0,1,0,1.0,Good,1,2
683,Spain,Male,29,0,133702.89,1,1,0,55582.54,1,<30,True,,0,1,133703.89,Good,1,2
660,Germany,Male,31,9,125189.75,2,1,1,139874.43,0,30-39,False,1.2222222222222223,0,1,62595.875,Fair,0,0
704,Germany,Female,24,7,113034.22,1,1,0,162503.48,1,<30,True,1.1428571428571428,0,1,113035.22,Good,0,1
615,Spain,Female,41,9,109013.23,1,1,0,196499.96,0,40-49,True,1.1111111111111112,0,1,109014.23,Fair,0,1
667,Spain,Female,39,2,0.0,2,1,0,40721.24,1,30-39,False,2.0,1,0,1.0,Fair,1,2
682,Germany,Male,24,9,57929.81,2,0,0,53134.3,0,<30,False,1.2222222222222223,0,0,28965.905,Good,0,0
484,France,Female,29,4,130114.39,1,1,0,164017.89,0,<30,True,1.25,0,1,130115.39,Poor,0,1
628,Germany,Male,27,5,95826.49,2,1,0,155996.96,0,<30,False,1.4,0,0,47914.245,Fair,0,0
480,Germany,Male,44,10,129608.57,1,1,0,5472.7,1,40-49,True,1.1,0,1,129609.57,Poor,0,1
578,France,Male,30,4,169462.09,1,1,0,112187.11,0,<30,True,1.25,0,1,169463.09,Poor,0,1
512,France,Male,40,5,0.0,2,1,1,146457.83,0,30-39,False,1.4,1,0,1.0,Poor,0,1
484,Spain,Female,35,7,133868.21,1,1,1,27286.1,0,30-39,False,1.1428571428571428,0,1,133869.21,Poor,0,0
510,France,Female,30,0,0.0,2,1,1,130553.47,0,<30,False,,1,0,1.0,Poor,1,2
606,Germany,Male,36,5,190479.48,2,0,0,179351.89,0,30-39,False,1.4,0,1,95240.74,Fair,0,0
597,Spain,Female,40,8,101993.12,1,0,1,94774.12,0,30-39,False,1.125,0,1,101994.12,Fair,0,0
754,Germany,Female,55,3,161608.81,1,1,0,8080.85,1,50-59,True,1.3333333333333333,0,1,161609.81,Very Good,0,1
850,Spain,Female,45,2,122311.21,1,1,1,19482.5,0,40-49,False,1.5,0,1,122312.21,Excellent,1,1
510,France,Male,65,2,0.0,2,1,1,48071.61,0,60+,False,2.0,1,0,1.0,Poor,1,2
778,Germany,Female,45,1,162150.42,2,1,0,174531.27,0,40-49,False,3.0,0,1,81076.21,Very Good,1,1
636,France,Male,42,2,0.0,2,1,1,55470.78,0,40-49,False,2.0,1,0,1.0,Fair,1,2
804,France,Female,50,4,0.0,1,1,1,8546.87,1,40-49,False,1.25,1,0,1.0,Excellent,0,1
514,France,Male,32,8,0.0,2,1,0,95857.18,0,30-39,False,1.25,1,0,1.0,Poor,0,1
730,France,Female,39,1,99010.67,1,1,0,194945.8,0,30-39,True,2.0,0,1,99011.67,Good,1,2
525,Spain,Female,37,0,0.0,1,0,1,131521.72,0,30-39,False,,1,0,1.0,Poor,1,2
616,Spain,Male,30,5,0.0,2,0,1,196108.51,0,<30,False,1.4,1,0,1.0,Fair,0,1
687,Germany,Female,34,7,111388.18,2,1,0,148564.76,0,30-39,False,1.2857142857142856,0,1,55695.09,Good,0,0
715,France,Female,41,8,56214.85,2,0,0,92982.61,1,40-49,False,1.25,0,0,28108.425,Good,0,0
512,France,Female,36,3,84327.77,2,1,0,17675.36,0,30-39,False,1.6666666666666665,0,0,42164.885,Poor,0,0
479,France,Male,40,1,0.0,2,0,0,114996.43,0,30-39,False,3.0,1,0,1.0,Poor,1,2
601,France,Male,32,8,93012.89,1,1,0,86957.42,0,30-39,True,1.125,0,0,93013.89,Fair,0,1
580,Spain,Male,29,9,61710.44,2,1,0,128077.8,0,<30,False,1.2222222222222223,0,0,30856.22,Poor,0,0
807,France,Male,35,3,174790.15,1,1,1,600.36,0,30-39,False,1.3333333333333333,0,1,174791.15,Excellent,0,0
616,Spain,Female,32,6,0.0,2,1,1,43001.46,0,30-39,False,1.3333333333333333,1,0,1.0,Fair,0,1
721,Germany,Male,37,3,107720.64,1,1,1,158591.12,0,30-39,False,1.3333333333333333,0,1,107721.64,Good,0,0
501,France,Male,57,10,0.0,2,1,1,47847.19,0,50-59,False,1.2,1,0,1.0,Poor,0,1
521,France,Male,35,6,96423.84,1,1,0,10488.44,0,30-39,True,1.1666666666666667,0,0,96424.84,Poor,0,1
850,Spain,Male,30,2,141040.01,1,1,1,5978.2,0,<30,False,1.5,0,1,141041.01,Excellent,1,1
759,France,Male,42,4,105420.18,1,0,1,121409.06,0,40-49,False,1.25,0,1,105421.18,Very Good,0,0
516,Spain,Male,50,5,0.0,1,0,1,146145.93,1,40-49,False,1.2,1,0,1.0,Poor,0,1
711,France,Female,38,2,129022.06,2,1,1,14374.86,1,30-39,False,2.0,0,1,64512.03,Good,1,1
512,Spain,Male,33,3,176666.62,1,1,0,94670.77,0,30-39,True,1.3333333333333333,0,1,176667.62,Poor,0,1
550,France,Male,37,3,0.0,1,1,1,179670.31,0,30-39,False,1.3333333333333333,1,0,1.0,Poor,0,1
608,Spain,Female,41,3,89763.84,1,0,0,199304.74,1,40-49,True,1.3333333333333333,0,0,89764.84,Fair,0,1
618,France,Male,34,5,134954.53,1,1,1,151954.39,0,30-39,False,1.2,0,1,134955.53,Fair,0,0
643,France,Male,45,5,0.0,1,1,0,142513.5,1,40-49,True,1.2,1,0,1.0,Fair,0,2
671,France,Male,45,2,106376.85,1,0,1,158264.62,0,40-49,False,1.5,0,1,106377.85,Good,1,1
689,Germany,Male,33,2,161814.64,2,1,0,169381.9,0,30-39,False,2.0,0,1,80908.32,Good,1,1
603,France,Male,31,8,0.0,2,1,1,169915.02,0,30-39,False,1.25,1,0,1.0,Fair,0,1
620,France,Female,41,9,0.0,2,0,0,88852.47,0,40-49,False,1.2222222222222223,1,0,1.0,Fair,0,1
676,France,Female,34,1,63095.01,1,1,1,40645.81,0,30-39,False,2.0,0,0,63096.01,Good,1,1
572,Germany,Male,26,4,118287.01,2,0,0,60427.3,0,<30,False,1.5,0,1,59144.505,Poor,0,0
668,Germany,Male,47,7,106854.21,1,0,1,157959.02,1,40-49,False,1.1428571428571428,0,1,106855.21,Fair,0,0
695,France,Male,46,7,49512.55,1,1,0,133007.34,0,40-49,True,1.1428571428571428,0,0,49513.55,Good,0,1
730,Spain,Female,33,9,0.0,2,0,0,176576.62,0,30-39,False,1.2222222222222223,1,0,1.0,Good,0,1
807,France,Male,43,1,105799.32,2,1,0,34888.04,1,40-49,False,3.0,0,1,52900.66,Excellent,1,1
592,France,Male,54,8,0.0,1,1,1,28737.71,1,50-59,False,1.125,1,0,1.0,Fair,0,1
726,France,Female,31,9,114722.05,2,1,1,98178.57,0,30-39,False,1.2222222222222223,0,1,57362.025,Good,0,0
514,Spain,Male,30,7,0.0,1,0,1,125010.24,0,<30,False,1.1428571428571428,1,0,1.0,Poor,0,1
567,France,Male,42,2,0.0,2,1,1,167984.61,0,40-49,False,2.0,1,0,1.0,Poor,1,2
850,France,Male,33,10,0.0,1,1,0,4861.72,1,30-39,True,1.1,1,0,1.0,Excellent,0,2
671,Germany,Male,45,6,99564.22,1,1,1,108872.45,1,40-49,False,1.1666666666666667,0,1,99565.22,Good,0,0
670,France,Male,37,4,170557.91,2,1,0,198252.88,0,30-39,False,1.5,0,1,85279.955,Fair,0,0
694,France,Female,30,9,0.0,2,1,1,26960.31,0,<30,False,1.2222222222222223,1,0,1.0,Good,0,1
547,Germany,Female,39,6,74596.15,3,1,1,85746.52,1,30-39,False,1.5,0,0,24866.38333333333,Poor,0,0
751,Germany,Male,50,2,96888.39,1,1,0,77206.25,1,40-49,True,1.5,0,0,96889.39,Very Good,1,2
594,Germany,Female,29,3,130830.22,1,1,0,61048.53,0,<30,True,1.3333333333333333,0,1,130831.22,Fair,0,1
673,France,Male,72,1,0.0,2,0,1,111981.19,0,60+,False,3.0,1,0,1.0,Good,1,2
610,France,Male,40,0,0.0,2,1,0,62232.6,0,30-39,False,,1,0,1.0,Fair,1,2
512,France,Female,37,1,0.0,2,0,1,156105.03,0,30-39,False,3.0,1,0,1.0,Poor,1,2
767,Germany,Male,20,3,119714.25,2,0,1,150135.38,0,<30,False,1.6666666666666665,0,1,59858.125,Very Good,0,0
585,France,Female,67,5,113978.97,2,0,1,93146.11,0,60+,False,1.4,0,1,56990.485,Fair,0,0
763,Germany,Male,42,6,100160.75,1,1,0,33462.94,1,40-49,True,1.1666666666666667,0,1,100161.75,Very Good,0,1
712,France,Female,29,2,0.0,1,1,1,144375.0,0,<30,False,1.5,1,0,1.0,Good,1,2
539,Germany,Female,43,3,116220.5,3,1,0,55803.96,1,40-49,False,2.0,0,1,38741.166666666664,Poor,0,0
