credit_score,age,tenure,balance,products_number,credit_card,active_member,estimated_salary,age_group,inactive_single_product,products_per_tenure,zero_balance,high_balance,balance_per_product,credit_score_band,early_customer,churn_risk_score
772,47,9,152347.01,1,0,1,17671.78,40-49,False,1.1111111111111112,0,1,152348.01,Very Good,0,0
628,51,10,115280.49,2,0,0,12628.61,50-59,False,1.2,0,1,57641.245,Fair,0,0
579,45,2,0.0,2,0,0,11514.39,40-49,False,2.0,1,0,1.0,Poor,1,2
676,34,1,63095.01,1,1,1,40645.81,30-39,False,2.0,0,0,63096.01,Good,1,1
411,29,0,59697.17,2,1,1,53483.21,<30,False,,0,0,29849.585,Poor,1,1
547,49,8,121537.71,2,1,0,46521.45,40-49,False,1.25,0,1,60769.855,Poor,0,0
727,31,3,82729.47,2,1,0,60212.51,30-39,False,1.6666666666666663,0,0,41365.735,Good,0,0
722,40,6,89175.06,2,0,1,152883.95,30-39,False,1.3333333333333333,0,0,44588.53,Good,0,0
500,50,5,0.0,4,1,1,83866.35,40-49,False,1.8,1,0,1.0,Poor,0,1
687,34,9,125474.44,1,1,0,198929.84,30-39,True,1.1111111111111112,0,1,125475.44,Good,0,1
751,48,4,0.0,1,0,1,30165.06,40-49,False,1.25,1,0,1.0,Very Good,0,1
564,33,4,135946.26,1,1,0,63170.0,30-39,True,1.25,0,1,135947.26,Poor,0,1
545,53,5,114421.55,1,1,0,180598.28,50-59,True,1.2,0,1,114422.55,Poor,0,1
561,34,4,85141.79,2,1,1,29217.37,30-39,False,1.5,0,0,42571.895,Poor,0,0
571,37,9,139592.98,3,1,0,104152.65,30-39,False,1.3333333333333333,0,1,46531.99333333334,Poor,0,0
844,18,2,160980.03,1,0,0,145936.28,<30,True,1.5,0,1,160981.03,Excellent,1,2
642,36,6,0.0,2,1,1,97938.59,30-39,False,1.3333333333333333,1,0,1.0,Fair,0,1
523,32,4,0.0,2,1,0,167848.02,30-39,False,1.5,1,0,1.0,Poor,0,1
575,46,1,0.0,2,1,1,65998.26,40-49,False,3.0,1,0,1.0,Poor,1,2
729,36,8,109106.8,1,0,0,121311.12,30-39,True,1.125,0,1,109107.8,Good,0,1
597,60,0,131778.08,1,0,0,10703.53,50-59,True,,0,1,131779.08,Fair,1,2
787,39,10,108935.39,1,1,1,101168.3,30-39,False,1.1,0,1,108936.39,Very Good,0,0
646,46,4,0.0,3,1,0,93251.42,40-49,False,1.75,1,0,1.0,Fair,0,1
544,21,10,161525.96,2,1,0,9262.77,<30,False,1.2,0,1,80763.98,Poor,0,0
738,35,5,161274.05,2,1,0,181429.87,30-39,False,1.4,0,1,80638.025,Good,0,0
581,54,4,89299.81,1,0,0,5558.47,50-59,True,1.25,0,0,89300.81,Fair,0,1
673,65,0,0.0,1,1,1,85733.33,60+,False,,1,0,1.0,Good,1,2
667,38,6,144432.04,1,1,1,73963.17,30-39,False,1.1666666666666667,0,1,144433.04,Fair,0,0
721,40,7,0.0,2,1,1,122580.48,30-39,False,1.2857142857142856,1,0,1.0,Good,0,1
548,33,6,0.0,1,1,1,31728.35,30-39,False,1.1666666666666667,1,0,1.0,Poor,0,1
501,29,8,0.0,2,1,0,112664.24,<30,False,1.25,1,0,1.0,Poor,0,1
490,39,1,0.0,3,1,0,171060.01,30-39,False,4.0,1,0,1.0,Poor,1,2
706,44,2,185932.18,2,1,0,65413.41,40-49,False,2.0,0,1,92967.09,Good,1,1
717,36,2,102989.83,2,0,1,49185.57,30-39,False,2.0,0,1,51495.915,Good,1,1
595,23,7,0.0,2,1,1,168085.97,<30,False,1.2857142857142856,1,0,1.0,Fair,0,1
730,62,2,0.0,2,1,1,186489.95,60+,False,2.0,1,0,1.0,Good,1,2
657,39,4,80293.81,1,1,0,97192.76,30-39,True,1.25,0,0,80294.81,Fair,0,1
599,25,3,0.0,2,1,1,120790.02,<30,False,1.6666666666666663,1,0,1.0,Fair,0,1
619,33,2,167733.51,2,1,1,65222.48,30-39,False,2.0,0,1,83867.755,Fair,1,1
639,31,3,98360.03,1,0,0,20973.8,30-39,True,1.3333333333333333,0,1,98361.03,Fair,0,1
504,42,3,134936.97,2,0,0,135178.91,40-49,False,1.6666666666666663,0,1,67469.485,Poor,0,0
694,38,7,121527.4,1,1,0,113481.02,30-39,True,1.1428571428571428,0,1,121528.4,Good,0,1
451,38,9,61482.47,1,1,1,167538.66,30-39,False,1.1111111111111112,0,0,61483.47,Poor,0,0
667,40,1,146502.07,1,1,0,19162.89,30-39,True,2.0,0,1,146503.07,Fair,1,2
762,19,6,0.0,2,1,0,55500.17,<30,False,1.3333333333333333,1,0,1.0,Very Good,0,1
640,55,10,132436.34,1,1,0,978.66,50-59,True,1.1,0,1,132437.34,Fair,0,1
556,46,10,0.0,2,0,0,109184.24,40-49,False,1.2,1,0,1.0,Poor,0,1
841,74,9,108131.53,1,0,1,60830.38,60+,False,1.1111111111111112,0,1,108132.53,Excellent,0,0
469,48,5,0.0,1,1,0,160529.71,40-49,True,1.2,1,0,1.0,Poor,0,2
579,41,0,141749.68,1,0,1,9201.53,40-49,False,,0,1,141750.68,Poor,1,1
774,40,9,93017.47,2,1,0,191608.97,30-39,False,1.2222222222222223,0,0,46509.735,Very Good,0,0
642,26,0,0.0,1,0,0,47472.68,<30,True,,1,0,1.0,Fair,1,3
557,42,6,177822.03,1,1,0,150944.31,40-49,True,1.1666666666666667,0,1,177823.03,Poor,0,1
711,45,1,97486.15,2,1,0,50610.62,40-49,False,3.0,0,1,48744.075,Good,1,1
642,30,8,80964.57,2,1,0,174738.2,<30,False,1.25,0,0,40483.285,Fair,0,0
634,27,3,107027.52,1,1,0,173425.68,<30,True,1.3333333333333333,0,1,107028.52,Fair,0,1
826,29,4,129938.07,1,0,1,190200.53,<30,False,1.25,0,1,129939.07,Excellent,0,0
430,35,1,118894.22,1,0,0,2923.61,30-39,True,2.0,0,1,118895.22,Poor,1,2
733,28,5,0.0,2,0,0,12761.16,<30,False,1.4,1,0,1.0,Good,0,1
632,42,4,126115.6,1,1,0,100998.5,40-49,True,1.25,0,1,126116.6,Fair,0,1
539,38,6,0.0,1,1,1,152880.07,30-39,False,1.1666666666666667,1,0,1.0,Poor,0,1
614,41,7,179915.85,1,0,0,14666.35,40-49,True,1.1428571428571428,0,1,179916.85,Fair,0,1
706,20,8,0.0,2,1,1,12368.11,<30,False,1.25,1,0,1.0,Good,0,1
640,30,5,32197.64,1,0,1,141446.01,<30,False,1.2,0,0,32198.64,Fair,0,0
711,43,2,39043.29,2,1,1,175423.69,40-49,False,2.0,0,0,19522.645,Good,1,1
703,41,6,109941.51,1,1,0,116267.28,40-49,True,1.1666666666666667,0,1,109942.51,Good,0,1
661,47,0,109493.62,1,0,0,188324.01,40-49,True,,0,1,109494.62,Fair,1,2
663,43,4,87624.03,2,1,0,149401.33,40-49,False,1.5,0,0,43813.015,Fair,0,0
568,33,7,0.0,2,1,0,143450.61,30-39,False,1.2857142857142856,1,0,1.0,Poor,0,1
727,39,5,80615.46,2,0,0,180962.32,30-39,False,1.4,0,0,40308.73,Good,0,0
677,34,10,171671.9,1,1,1,50777.77,30-39,False,1.1,0,1,171672.9,Good,0,0
557,36,3,0.0,1,0,1,144078.02,30-39,False,1.3333333333333333,1,0,1.0,Poor,0,1
640,39,3,0.0,1,1,1,105997.25,30-39,False,1.3333333333333333,1,0,1.0,Fair,0,1
551,35,7,129717.3,2,0,0,86937.2,30-39,False,1.2857142857142856,0,1,64859.65,Poor,0,0
575,52,8,123925.23,1,0,0,111342.66,50-59,True,1.125,0,1,123926.23,Poor,0,1
606,40,6,119501.88,2,1,0,46774.94,30-39,False,1.3333333333333333,0,1,59751.94,Fair,0,0
711,53,5,123805.03,1,1,0,102428.51,50-59,True,1.2,0,1,123806.03,Good,0,1
850,28,8,67639.56,2,1,1,194245.29,<30,False,1.25,0,0,33820.78,Excellent,0,0
633,31,1,0.0,1,1,0,48606.71,30-39,True,2.0,1,0,1.0,Fair,1,3
646,29,4,105957.44,1,1,0,15470.91,<30,True,1.25,0,1,105958.44,Fair,0,1
626,38,7,141074.59,1,1,0,52795.56,30-39,True,1.1428571428571428,0,1,141075.59,Fair,0,1
716,40,3,0.0,2,0,1,167636.15,30-39,False,1.6666666666666663,1,0,1.0,Good,0,1
779,37,2,128389.63,1,1,1,6589.16,30-39,False,1.5,0,1,128390.63,Very Good,1,1
635,32,8,0.0,2,1,1,19367.98,30-39,False,1.25,1,0,1.0,Fair,0,1
775,27,4,0.0,1,1,1,40807.26,<30,False,1.25,1,0,1.0,Very Good,0,1
678,26,5,111128.04,1,1,0,60941.27,<30,True,1.2,0,1,111129.04,Good,0,1
839,51,3,0.0,1,1,1,69101.23,50-59,False,1.3333333333333333,1,0,1.0,Excellent,0,1
692,31,2,0.0,2,1,0,91829.17,30-39,False,2.0,1,0,1.0,Good,1,2
499,21,3,176511.08,1,1,1,153920.22,<30,False,1.3333333333333333,0,1,176512.08,Poor,0,0
530,34,8,0.0,2,0,1,141872.52,30-39,False,1.25,1,0,1.0,Poor,0,1
548,33,1,80107.83,2,0,1,82245.67,30-39,False,3.0,0,0,40054.915,Poor,1,1
537,41,3,138306.34,1,1,0,106761.47,40-49,True,1.3333333333333333,0,1,138307.34,Poor,0,1
678,48,2,101099.9,2,0,1,193476.04,40-49,False,2.0,0,1,50550.95,Good,1,1
533,43,4,80442.06,2,0,1,12537.42,40-49,False,1.5,0,0,40222.03,Poor,0,0
723,20,4,0.0,2,1,1,140385.33,<30,False,1.5,1,0,1.0,Good,0,1
544,38,8,0.0,1,1,1,98208.62,30-39,False,1.125,1,0,1.0,Poor,0,1
847,31,5,0.0,2,1,1,76326.67,30-39,False,1.4,1,0,1.0,Excellent,0,1
575,47,9,107915.94,2,1,1,63452.18,40-49,False,1.2222222222222223,0,1,53958.97,Poor,0,0
574,34,5,0.0,2,0,0,28269.86,30-39,False,1.4,1,0,1.0,Poor,0,1
572,31,5,98108.79,1,0,1,119996.95,30-39,False,1.2,0,1,98109.79,Poor,0,0
718,31,1,152663.77,1,0,1,17128.64,30-39,False,2.0,0,1,152664.77,Good,1,1
637,35,8,147127.81,2,1,1,84760.7,30-39,False,1.25,0,1,73564.905,Fair,0,0
704,24,2,0.0,1,1,0,35600.25,<30,True,1.5,1,0,1.0,Good,1,3
645,33,8,149564.61,1,0,0,149913.84,30-39,True,1.125,0,1,149565.61,Fair,0,1
597,35,8,131101.04,1,1,1,192852.67,30-39,False,1.125,0,1,131102.04,Fair,0,0
598,35,8,114212.6,1,1,1,74322.85,30-39,False,1.125,0,1,114213.6,Fair,0,0
703,31,6,0.0,2,1,1,67667.19,30-39,False,1.3333333333333333,1,0,1.0,Good,0,1
724,34,2,154485.74,2,0,0,78560.64,30-39,False,2.0,0,1,77243.87,Good,1,1
613,37,3,171653.17,1,0,1,5353.12,30-39,False,1.3333333333333333,0,1,171654.17,Fair,0,0
696,30,8,0.0,2,1,1,196134.44,<30,False,1.25,1,0,1.0,Good,0,1
813,27,1,137275.36,1,0,1,115733.16,<30,False,2.0,0,1,137276.36,Excellent,1,1
714,26,9,89928.99,1,1,0,46203.31,<30,True,1.1111111111111112,0,0,89929.99,Good,0,1
794,37,9,0.0,2,1,0,68008.85,30-39,False,1.2222222222222223,1,0,1.0,Very Good,0,1
687,36,5,0.0,1,1,0,17696.22,30-39,True,1.2,1,0,1.0,Good,0,2
598,64,1,0.0,2,1,0,195635.3,60+,False,3.0,1,0,1.0,Fair,1,2
773,41,4,0.0,2,1,1,24924.92,40-49,False,1.5,1,0,1.0,Very Good,0,1
545,37,8,114754.08,1,1,0,136050.44,30-39,True,1.125,0,1,114755.08,Poor,0,1
632,39,5,97854.37,2,1,0,93536.38,30-39,False,1.4,0,1,48928.185,Fair,0,0
826,56,8,174506.1,2,0,1,161802.82,50-59,False,1.25,0,1,87254.05,Excellent,0,0
535,50,1,140292.58,3,0,0,69531.22,40-49,False,4.0,0,1,46765.19333333333,Poor,1,1
572,35,4,152390.26,1,1,0,128123.66,30-39,True,1.25,0,1,152391.26,Poor,0,1
706,30,6,87609.68,2,0,0,137674.55,<30,False,1.3333333333333333,0,0,43805.84,Good,0,0
694,30,10,144684.03,1,1,1,31805.49,<30,False,1.1,0,1,144685.03,Good,0,0
575,30,2,0.0,2,1,1,82222.86,<30,False,2.0,1,0,1.0,Poor,1,2
626,44,10,81553.93,1,1,0,20063.63,40-49,True,1.1,0,0,81554.93,Fair,0,1
645,37,1,0.0,2,1,1,68987.55,30-39,False,3.0,1,0,1.0,Fair,1,2
758,32,2,84378.9,1,1,1,75396.43,30-39,False,1.5,0,0,84379.9,Very Good,1,1
559,62,6,118756.62,1,1,1,20367.68,60+,False,1.1666666666666667,0,1,118757.62,Poor,0,0
696,31,3,150604.52,1,0,0,5566.6,30-39,True,1.3333333333333333,0,1,150605.52,Good,0,1
480,44,10,129608.57,1,1,0,5472.7,40-49,True,1.1,0,1,129609.57,Poor,0,1
567,36,1,0.0,2,0,0,8555.73,30-39,False,3.0,1,0,1.0,Poor,1,2
720,29,7,106230.92,1,1,1,69903.93,<30,False,1.1428571428571428,0,1,106231.92,Good,0,0
528,62,7,133201.17,1,0,0,168507.68,60+,True,1.1428571428571428,0,1,133202.17,Poor,0,1
687,27,9,152328.88,2,0,0,126494.82,<30,False,1.2222222222222223,0,1,76165.44,Good,0,0
531,37,1,0.0,1,1,0,4606.97,30-39,True,2.0,1,0,1.0,Poor,1,3
548,35,10,0.0,1,1,1,31299.71,30-39,False,1.1,1,0,1.0,Poor,0,1
738,26,9,0.0,2,1,1,48644.94,<30,False,1.2222222222222223,1,0,1.0,Good,0,1
615,30,8,0.0,2,0,0,3183.15,<30,False,1.25,1,0,1.0,Fair,0,1
561,28,6,123692.0,1,1,1,70548.96,<30,False,1.1666666666666667,0,1,123693.0,Poor,0,0
652,45,2,151421.44,1,0,1,115333.43,40-49,False,1.5,0,1,151422.44,Fair,1,1
850,57,8,126776.3,2,1,1,132298.49,50-59,False,1.25,0,1,63389.15,Excellent,0,0
719,40,4,128389.12,1,1,1,176091.31,30-39,False,1.25,0,1,128390.12,Good,0,0
476,40,6,0.0,1,1,1,22735.45,30-39,False,1.1666666666666667,1,0,1.0,Poor,0,1
669,47,0,63723.78,2,1,1,181928.25,40-49,False,,0,0,31862.89,Fair,1,1
590,34,0,65812.35,2,0,1,160346.3,30-39,False,,0,0,32907.175,Fair,1,1
500,34,6,0.0,1,1,1,140268.45,30-39,False,1.1666666666666667,1,0,1.0,Poor,0,1
619,35,4,90413.12,1,1,1,20555.21,30-39,False,1.25,0,0,90414.12,Fair,0,0
497,29,4,85646.81,1,0,0,63233.02,<30,True,1.25,0,0,85647.81,Poor,0,1
715,32,10,0.0,2,1,0,60907.49,30-39,False,1.2,1,0,1.0,Good,0,1
358,52,8,143542.36,3,1,0,141959.11,50-59,False,1.375,0,1,47848.45333333333,Poor,0,0
619,44,3,116967.68,1,1,0,5075.17,40-49,True,1.3333333333333333,0,1,116968.68,Fair,0,1
850,56,1,169743.83,1,0,0,155850.4,50-59,True,2.0,0,1,169744.83,Excellent,1,2
525,37,0,0.0,1,0,1,131521.72,30-39,False,,1,0,1.0,Poor,1,2
637,27,9,128940.24,1,1,0,46786.92,<30,True,1.1111111111111112,0,1,128941.24,Fair,0,1
684,24,9,79263.9,1,0,1,196574.48,<30,False,1.1111111111111112,0,0,79264.9,Good,0,0
640,31,10,118613.34,1,1,0,168469.65,30-39,True,1.1,0,1,118614.34,Fair,0,1
742,28,2,191864.51,1,1,0,108457.99,<30,True,1.5,0,1,191865.51,Very Good,1,2
648,54,7,118241.02,1,1,0,172586.89,50-59,True,1.1428571428571428,0,1,118242.02,Fair,0,1
644,46,6,12459.19,1,0,0,156787.34,40-49,True,1.1666666666666667,0,0,12460.19,Fair,0,1
777,37,10,121532.17,2,1,1,73464.88,30-39,False,1.2,0,1,60767.085,Very Good,0,0
427,33,8,0.0,1,1,1,13858.95,30-39,False,1.125,1,0,1.0,Poor,0,1
651,35,8,110067.71,1,1,0,127678.95,30-39,True,1.125,0,1,110068.71,Fair,0,1
764,48,1,75990.97,1,1,0,158323.81,40-49,True,2.0,0,0,75991.97,Very Good,1,2
576,29,7,130575.26,1,0,1,173629.78,<30,False,1.1428571428571428,0,1,130576.26,Poor,0,0
611,40,1,0.0,2,1,1,102547.56,30-39,False,3.0,1,0,1.0,Fair,1,2
710,37,5,0.0,2,1,0,115403.31,30-39,False,1.4,1,0,1.0,Good,0,1
700,39,5,144550.83,2,1,1,189664.43,30-39,False,1.4,0,1,72276.415,Good,0,0
725,35,7,75915.75,1,1,0,150507.43,30-39,True,1.1428571428571428,0,0,75916.75,Good,0,1
580,61,8,125921.37,1,1,1,94677.83,60+,False,1.125,0,1,125922.37,Poor,0,0
731,49,4,88826.07,1,1,1,33759.41,40-49,False,1.25,0,0,88827.07,Good,0,0
683,72,3,140997.26,1,0,1,52876.41,60+,False,1.3333333333333333,0,1,140998.26,Good,0,0
581,24,10,159203.71,1,1,1,102517.83,<30,False,1.1,0,1,159204.71,Fair,0,0
644,33,9,141234.98,1,1,0,95673.05,30-39,True,1.1111111111111112,0,1,141235.98,Fair,0,1
590,24,7,126431.54,1,1,0,58781.11,<30,True,1.1428571428571428,0,1,126432.54,Fair,0,1
558,25,10,111363.1,2,1,0,197264.35,<30,False,1.2,0,1,55682.55,Poor,0,0
589,20,2,121093.29,2,1,0,3529.72,<30,False,2.0,0,1,60547.645,Fair,1,1
768,48,3,122831.58,1,1,1,24533.89,40-49,False,1.3333333333333333,0,1,122832.58,Very Good,0,0
751,36,5,73194.99,1,1,1,89222.66,30-39,False,1.2,0,0,73195.99,Very Good,0,0
606,38,7,128578.52,1,1,1,193878.51,30-39,False,1.1428571428571428,0,1,128579.52,Fair,0,0
690,54,5,0.0,1,1,0,12847.61,50-59,True,1.2,1,0,1.0,Good,0,2
646,42,3,175159.9,2,0,0,67124.48,40-49,False,1.6666666666666663,0,1,87580.95,Fair,0,0
674,36,6,100762.64,1,1,0,182156.86,30-39,True,1.1666666666666667,0,1,100763.64,Good,0,1
525,60,7,0.0,2,0,1,168034.9,50-59,False,1.2857142857142856,1,0,1.0,Poor,0,1
727,52,4,0.0,2,1,1,118429.02,50-59,False,1.5,1,0,1.0,Good,0,1
658,35,9,71829.34,1,1,1,68141.92,30-39,False,1.1111111111111112,0,0,71830.34,Fair,0,0
845,28,9,0.0,2,1,1,56185.98,<30,False,1.2222222222222223,1,0,1.0,Excellent,0,1
646,24,0,92398.08,1,1,1,18897.29,<30,False,,0,0,92399.08,Fair,1,1
691,41,8,109153.96,3,1,1,148848.76,40-49,False,1.375,0,1,36385.653333333335,Good,0,0
553,47,3,116528.15,1,0,0,145704.19,40-49,True,1.3333333333333333,0,1,116529.15,Poor,0,1
731,31,1,132512.26,1,1,1,185466.85,30-39,False,2.0,0,1,132513.26,Good,1,1
647,37,3,116509.99,1,1,1,149517.71,30-39,False,1.3333333333333333,0,1,116510.99,Fair,0,0
674,28,3,0.0,1,1,0,51536.99,<30,True,1.3333333333333333,1,0,1.0,Good,0,2
758,23,5,122739.1,1,1,0,102460.84,<30,True,1.2,0,1,122740.1,Very Good,0,1
613,26,4,100446.57,1,0,1,149653.81,<30,False,1.25,0,1,100447.57,Fair,0,0
765,34,5,86055.17,2,1,1,104220.5,30-39,False,1.4,0,0,43028.585,Very Good,0,0
550,25,0,0.0,2,1,1,184221.11,<30,False,,1,0,1.0,Poor,1,2
717,38,7,0.0,2,1,1,158580.05,30-39,False,1.2857142857142856,1,0,1.0,Good,0,1
689,28,2,64808.32,2,0,0,78591.15,<30,False,2.0,0,0,32405.16,Good,1,1
630,41,7,107511.52,1,0,1,46156.87,40-49,False,1.1428571428571428,0,1,107512.52,Fair,0,0
554,44,6,92436.86,1,1,0,126033.9,40-49,True,1.1666666666666667,0,0,92437.86,Poor,0,1
811,28,4,167738.82,2,1,1,9903.42,<30,False,1.5,0,1,83870.41,Excellent,0,0
592,45,8,84692.5,1,0,1,67214.02,40-49,False,1.125,0,0,84693.5,Fair,0,0
765,37,7,102708.77,1,1,0,9087.81,30-39,True,1.1428571428571428,0,1,102709.77,Very Good,0,1
637,40,8,125470.81,1,1,1,174536.17,30-39,False,1.125,0,1,125471.81,Fair,0,0
581,25,5,77886.53,2,1,0,150319.49,<30,False,1.4,0,0,38944.265,Fair,0,0
668,72,2,0.0,2,1,1,70783.61,60+,False,2.0,1,0,1.0,Fair,1,2
802,41,5,0.0,2,1,1,134626.3,40-49,False,1.4,1,0,1.0,Excellent,0,1
684,18,9,90544.0,1,0,1,4777.23,<30,False,1.1111111111111112,0,0,90545.0,Good,0,0
804,25,7,108396.67,1,1,0,128276.95,<30,True,1.1428571428571428,0,1,108397.67,Excellent,0,1
705,39,8,144102.32,1,1,1,11682.36,30-39,False,1.125,0,1,144103.32,Good,0,0
785,38,9,107199.75,1,0,0,146398.51,30-39,True,1.1111111111111112,0,1,107200.75,Very Good,0,1
700,26,2,0.0,2,0,0,50051.42,<30,False,2.0,1,0,1.0,Good,1,2
627,32,1,0.0,1,1,0,106851.7,30-39,True,2.0,1,0,1.0,Fair,1,3
745,34,9,0.0,2,1,0,50046.25,30-39,False,1.2222222222222223,1,0,1.0,Very Good,0,1
651,35,2,86911.8,1,1,0,174094.24,30-39,True,1.5,0,0,86912.8,Fair,1,2
692,44,8,0.0,1,0,1,159069.37,40-49,False,1.125,1,0,1.0,Good,0,1
739,54,8,126418.14,1,1,0,134420.75,50-59,True,1.125,0,1,126419.14,Good,0,1
775,38,4,125212.65,2,1,1,15795.88,30-39,False,1.5,0,1,62607.325,Very Good,0,0
573,37,6,0.0,2,1,0,193995.37,30-39,False,1.3333333333333333,1,0,1.0,Poor,0,1
850,36,0,136980.23,2,1,1,99019.65,30-39,False,,0,1,68491.115,Excellent,1,1
447,43,2,0.0,2,1,0,33879.26,40-49,False,2.0,1,0,1.0,Poor,1,2
701,33,7,123870.07,1,1,0,97794.71,30-39,True,1.1428571428571428,0,1,123871.07,Good,0,1
685,39,9,0.0,2,1,1,18826.06,30-39,False,1.2222222222222223,1,0,1.0,Good,0,1
675,32,10,0.0,2,1,0,191545.65,30-39,False,1.2,1,0,1.0,Good,0,1
526,30,9,0.0,2,0,0,100995.68,<30,False,1.2222222222222223,1,0,1.0,Poor,0,1
597,24,0,108058.07,2,1,1,187826.11,<30,False,,0,1,54030.035,Fair,1,1
648,28,9,102282.61,1,1,1,157891.11,<30,False,1.1111111111111112,0,1,102283.61,Fair,0,0
673,77,10,76510.52,2,0,1,59595.66,60+,False,1.2,0,0,38256.26,Good,0,0
546,20,6,0.0,1,0,1,20508.85,<30,False,1.1666666666666667,1,0,1.0,Poor,0,1
624,51,10,123401.43,2,1,1,127825.25,50-59,False,1.2,0,1,61701.715,Fair,0,0
604,23,9,124577.33,1,1,1,7267.25,<30,False,1.1111111111111112,0,1,124578.33,Fair,0,0
465,53,1,117438.17,1,0,0,74898.8,50-59,True,2.0,0,1,117439.17,Poor,1,2
522,30,3,0.0,2,1,0,145490.85,<30,False,1.6666666666666663,1,0,1.0,Poor,0,1
850,43,3,0.0,2,0,0,2465.8,40-49,False,1.6666666666666663,1,0,1.0,Excellent,0,1
439,29,6,156569.43,1,1,0,180598.66,<30,True,1.1666666666666667,0,1,156570.43,Poor,0,1
642,34,8,0.0,1,1,0,72085.1,30-39,True,1.125,1,0,1.0,Fair,0,2
767,77,8,149083.7,1,1,1,190146.83,60+,False,1.125,0,1,149084.7,Very Good,0,0
